F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S  1000       1       0  0  80   0 -   284 do_sig ?        00:00:00 docker-init
4 S  1000       7       1  0  80   0 -   700 sigsus ?        00:00:00 sh
5 S     0     134       1  0  80   0 -  3004 -      ?        00:00:00 sshd
4 S     0     333       1  0  80   0 - 492009 -     ?        00:00:00 dockerd
4 S     0     510     333  0  80   0 - 450360 -     ?        00:00:01 containerd
4 S  1000    1258       0  0  80   0 -   700 pipe_r ?        00:00:00 sh
4 S     0    1341       0  0  80   0 -   700 -      ?        00:00:00 sh
4 S  1000    1880       0  0  80   0 -   702 do_wai ?        00:00:00 sh
4 S  1000    1889    1880  0  80   0 - 2959329 ep_pol ?      00:00:05 node
4 S  1000    2034    1889  1  80   0 - 11027711 ep_pol ?     00:00:32 node
0 S  1000    2055    1889  0  80   0 - 315505 ep_pol ?       00:00:00 node
4 S  1000    2485    1889  0  80   0 - 285069 ep_pol ?       00:00:02 node
0 S  1000    2972    2034  0  80   0 - 295585 ep_pol ?       00:00:00 node
4 S  1000    3391       0  0  80   0 -   700 pipe_r ?        00:00:00 sh
4 S     0    3437       0  0  80   0 -   700 -      ?        00:00:00 sh
4 S  1000    3706    2485  0  80   0 -  3983 do_wai pts/2    00:00:00 bash
0 S  1000   19818    2485  0  80   0 -   701 do_wai ?        00:00:00 sh
4 S  1000   19819   19818  0  80   0 -  1936 do_wai ?        00:00:00 cpuUsage.sh
0 S  1000   19822   19819  0  80   0 -  1529 hrtime ?        00:00:00 sleep
4 S  1000   19823       7  0  80   0 -  1528 hrtime ?        00:00:00 sleep
4 S  1000   19826    3706  0  80   0 -  1770 pipe_r pts/2    00:00:00 grep
